schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-06-23 19:46:29.135,90,,,,,,,,,2026-06-23 19:46:28.883,1.49,1,,,,,,,
1.0.0,2026-06-23 19:46:29.646,91,48.93,0,1,0.1037,14.26,0.67,0.31,0,,,,,5.6,56,1,2040,2317.971456,41.231
1.0.0,2026-06-23 19:46:32.042,91,,,,,,,,,2026-06-23 19:46:31.780,11.67,1,,,,,,,
1.0.0,2026-06-23 19:46:32.053,92,49.39,0,1,0.0708,14.34,0.68,0.33,0,,,,,6.8,57,10,2040,2317.971456,39.139
1.0.0,2026-06-23 19:46:34.444,92,,,,,,,,,2026-06-23 19:46:34.186,6.35,1,,,,,,,
1.0.0,2026-06-23 19:46:36.268,93,48.83,0,1,0.1211,16.77,0.71,0.33,1,,,,,4.9,56,4,2040,2317.971456,36.076
1.0.0,2026-06-23 19:46:37.567,94,48.78,0,1,0.1214,15.37,0.66,0.33,0,,,,,5.2,57,8,2040,2317.971456,43.107
1.0.0,2026-06-23 19:46:37.597,93,,,,,,,,,2026-06-23 19:46:37.335,10.94,1,,,,,,,
1.0.0,2026-06-23 19:46:39.953,94,,,,,,,,,2026-06-23 19:46:39.701,1.43,1,,,,,,,
1.0.0,2026-06-23 19:46:40.712,95,48.72,0,1,0.1427,14.49,0.66,0.34,1,,,,,5.7,57,13,2040,2323.738624,40.249
1.0.0,2026-06-23 19:46:42.031,95,,,,,,,,,2026-06-23 19:46:41.778,2.22,1,,,,,,,
1.0.0,2026-06-23 19:46:42.479,96,48.76,0,1,0.1024,13.86,0.64,0.35,0,,,,,4.3,56,1,2040,2319.020032,40.683
1.0.0,2026-06-23 19:46:44.858,97,48.98,0,1,0.0871,13.23,0.7,0.35,1,,,,,5.4,57,9,2040,2319.020032,38.993
1.0.0,2026-06-23 19:46:44.865,96,,,,,,,,,2026-06-23 19:46:44.612,2.3,1,,,,,,,
1.0.0,2026-06-23 19:46:46.181,97,,,,,,,,,2026-06-23 19:46:45.925,5.55,1,,,,,,,
1.0.0,2026-06-23 19:46:49.324,98,49.01,0,1,0.1141,14.88,0.64,0.34,1,,,,,5.4,57,13,2040,2319.020032,37.406
1.0.0,2026-06-23 19:46:50.513,99,49.1,0,1,0.1234,13.74,0.71,0.32,0,,,,,4.1,57,12,2040,2328.915968,43.551
