schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],capture_sum[ms],capture_frames[n],hsv_sum[ms],hsv_frames[n],visible_frames[n],preproc_sum[ms],infer_sum[ms],infer_count[n],postproc_sum[ms],total_per_fruit[ms],visible_dur[s],cycle_dur[s],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,yolo_no_det_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-08-05 02:57:09.780,62,49.28,0,1,0.1686,8.66,0.64,1.59,62.97,86,584.11,86,28,7.62,103.97,12,19.05,777.72,0.125,1.062,1,,,,0,,19.8,54,10,2040,2403.581952,38.171
1.0.0,2026-08-05 02:57:09.984,60,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:09.826,2.04,1,,,,,,,,
1.0.0,2026-08-05 02:57:10.966,63,49.28,0,1,0.1953,6.01,0.56,1.38,68.49,94,600.04,94,28,6.77,72.15,12,16.51,763.96,0.188,1.188,1,,,,0,,17.8,54,11,2040,2403.581952,37.911
1.0.0,2026-08-05 02:57:12.126,64,49.29,0,1,0.1883,6.59,0.54,1.31,69.42,93,568.2,93,28,6.52,79.1,12,15.67,738.91,0.188,1.156,0,,,,0,,17.6,54,8,2040,2403.581952,37.842
1.0.0,2026-08-05 02:57:12.342,62,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:12.180,3.08,1,,,,,,,,
1.0.0,2026-08-05 02:57:12.952,61,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:12.787,10.69,1,,,,,,,,
1.0.0,2026-08-05 02:57:13.376,65,38.93,0,1,0.2362,6.36,0.54,1.27,72.79,100,686.37,100,21,6.5,76.31,12,15.23,857.2,0.156,1.25,1,,,,0,,20.5,54,23,2040,2369.503232,37.928
1.0.0,2026-08-05 02:57:13.531,63,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:13.366,9.24,1,,,,,,,,
1.0.0,2026-08-05 02:57:14.615,66,49.27,0,1,0.1976,7.3,0.51,1.38,68.5,99,659.03,99,27,6.07,87.6,12,16.5,837.7,0.234,1.234,0,,,,0,,18.9,54,9,2040,2403.581952,37.704
1.0.0,2026-08-05 02:57:15.666,67,49.15,0,1,0.2237,6.48,0.55,1.19,63.64,84,609.26,84,22,6.66,77.74,12,14.31,771.61,0.14,1.063,1,,,,0,,18.7,54,8,2040,2369.503232,38.081
1.0.0,2026-08-05 02:57:15.946,65,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:15.776,14.91,1,,,,,,,,
1.0.0,2026-08-05 02:57:16.369,64,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:16.198,14.84,1,,,,,,,,
